season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
2022,REG,CLE,1,00-0034779,S,Ronnie Harrison,Ronnie,Harrison,,,,Hamstring,,Full Participation in Practice,2022-09-09 18:26:47+00:00
2022,REG,CLE,1,00-0037314,DE,Isaiah Thomas,Isaiah,Thomas,,,,Hand,,Full Participation in Practice,2022-09-09 18:26:47+00:00
2022,REG,CLE,1,00-0035654,DE,Chase Winovich,Chase,Winovich,,,,Hamstring,,Full Participation in Practice,2022-09-09 18:26:47+00:00
2022,REG,CLE,1,00-0037300,WR,Mike Woods,Mike,Woods,Hamstring,Illness,Questionable,Hamstring,Illness,Did Not Participate In Practice,2022-09-09 18:27:15+00:00
2022,REG,CLE,1,00-0029963,T,Christopher Hubbard,Christopher,Hubbard,Elbow,,Questionable,Elbow,,Full Participation in Practice,2022-09-09 18:27:15+00:00
2022,REG,CLE,1,00-0033057,T,Jack Conklin,Jack,Conklin,Knee,,Questionable,Knee,,Limited Participation in Practice,2022-09-09 18:27:15+00:00
2022,REG,DAL,1,00-0033928,CB,Jourdan Lewis,Jourdan,Lewis,,,,Hamstring,,Full Participation in Practice,2022-09-09 19:47:49+00:00
2022,REG,DAL,1,00-0033077,QB,Dak Prescott,Dak,Prescott,,,,Ankle,,Full Participation in Practice,2022-09-09 19:47:56+00:00
2022,REG,DAL,1,00-0034764,WR,Michael Gallup,Michael,Gallup,Knee,,Out,Knee,,Limited Participation in Practice,2022-09-09 19:48:18+00:00
2022,REG,DAL,1,00-0032454,S,Jayron Kearse,Jayron,Kearse,Neck,,Questionable,Neck,,Did Not Participate In Practice,2022-09-09 19:48:11+00:00
2022,REG,DEN,1,00-0035804,LB,Jonas Griffith,Jonas,Griffith,,,,Elbow,,Full Participation in Practice,2022-09-10 19:41:12+00:00
2022,REG,DEN,1,00-0034368,LB,Josey Jewell,Josey,Jewell,Calf,,Doubtful,Calf,,Did Not Participate In Practice,2022-09-10 19:42:58+00:00
2022,REG,DEN,1,00-0032197,DE,Randy Gregory,Randy,Gregory,Shoulder,Knee,Questionable,Shoulder,Knee,Limited Participation in Practice,2022-09-10 19:42:29+00:00
2022,REG,DEN,1,00-0036412,WR,K.J. Hamler,K.J.,Hamler,Knee,Hip,Questionable,Knee,Hip,Limited Participation in Practice,2022-09-10 19:42:29+00:00
2022,REG,DEN,1,00-0031433,T,Billy Turner,Billy,Turner,Knee,,Questionable,Knee,,Limited Participation in Practice,2022-09-10 19:42:29+00:00
2022,REG,DET,1,00-0034787,LB,Chris Board,Chris,Board,,,,Knee,,Full Participation in Practice,2022-09-09 19:51:48+00:00
2022,REG,DET,1,00-0035265,DT,John Cominsky,John,Cominsky,,,,Illness,,Full Participation in Practice,2022-09-09 19:51:48+00:00
2022,REG,DET,1,00-0035145,K,Austin Seibert,Austin,Seibert,,,,right Groin,,Full Participation in Practice,2022-09-09 19:51:48+00:00
2022,REG,DET,1,00-0036749,G,Tommy Kraemer,Tommy,Kraemer,Back,,Out,Back,,Did Not Participate In Practice,2022-09-09 19:52:33+00:00
2022,REG,DET,1,00-0036954,DE,Levi Onwuzurike,Levi,Onwuzurike,Back,,Out,Back,,Did Not Participate In Practice,2022-09-09 19:52:15+00:00
2022,REG,DET,1,00-0036993,CB,Ifeatu Melifonwu,Ifeatu,Melifonwu,Hamstring,,Doubtful,Hamstring,,Limited Participation in Practice,2022-09-09 19:52:20+00:00
2022,REG,DET,1,00-0036249,LB,Julian Okwara,Julian,Okwara,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2022-09-09 19:52:02+00:00
2022,REG,DET,1,00-0034345,C,Frank Ragnow,Frank,Ragnow,Groin,,Questionable,Groin,,Limited Participation in Practice,2022-09-09 19:52:02+00:00
2022,REG,GB,1,00-0025580,K,Mason Crosby,Mason,Crosby,,,,right Knee,,Full Participation in Practice,2022-09-09 19:38:41+00:00
2022,REG,GB,1,00-0035965,LB,Tipa Galeai,Tipa,Galeai,,,,Elbow,,Full Participation in Practice,2022-09-09 19:38:41+00:00
2022,REG,GB,1,00-0036273,C,Jake Hanson,Jake,Hanson,,,,Shoulder,,Full Participation in Practice,2022-09-09 19:38:41+00:00
2022,REG,GB,1,00-0034726,S,Dallin Leavitt,Dallin,Leavitt,,,,Shoulder,,Full Participation in Practice,2022-09-09 19:38:41+00:00
2022,REG,GB,1,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Full Participation in Practice,2022-09-09 19:38:56+00:00
2022,REG,GB,1,00-0035084,T,Yosuah Nijman,Yosuah,Nijman,,,,Knee,,Full Participation in Practice,2022-09-09 19:38:41+00:00
2022,REG,GB,1,00-0038124,WR,Christian Watson,Christian,Watson,,,,Knee,,Full Participation in Practice,2022-09-09 19:38:41+00:00
2022,REG,GB,1,00-0034968,S,Darnell Savage,Darnell,Savage,,,,Hamstring,,Limited Participation in Practice,2022-09-09 19:38:41+00:00
2022,REG,GB,1,00-0033757,TE,Robert Tonyan,Robert,Tonyan,,,,Knee,,Limited Participation in Practice,2022-09-09 19:38:41+00:00
2022,REG,GB,1,00-0034521,WR,Allen Lazard,Allen,Lazard,Ankle,,Doubtful,Ankle,,Did Not Participate In Practice,2022-09-09 19:39:24+00:00
2022,REG,GB,1,00-0030074,T,David Bakhtiari,David,Bakhtiari,Knee,,Questionable,Knee,,Did Not Participate In Practice,2022-09-09 19:39:02+00:00
2022,REG,GB,1,00-0035526,G,Elgton Jenkins,Elgton,Jenkins,Pectoral,Knee,Questionable,Pectoral,Knee,Limited Participation in Practice,2022-09-09 19:39:02+00:00
2022,REG,HOU,1,00-0028339,DE,Mario Addison,Mario,Addison,Thigh,,Doubtful,Thigh,,Did Not Participate In Practice,2022-09-09 18:38:27+00:00
2022,REG,HOU,1,00-0034831,DE,Rasheem Green,Rasheem,Green,Thigh,,Questionable,Thigh,,Did Not Participate In Practice,2022-09-09 18:38:06+00:00
2022,REG,IND,1,00-0034846,LB,Shaquille Leonard,Shaquille,Leonard,Back,,Out,Back,,Limited Participation in Practice,2022-09-09 18:47:07+00:00
2022,REG,IND,1,00-0029419,T,Dennis Kelly,Dennis,Kelly,Knee,,Questionable,Knee,,Full Participation in Practice,2022-09-09 18:46:56+00:00
2022,REG,JAX,1,00-0033889,T,Cam Robinson,Cam,Robinson,,,,Ankle,,Limited Participation in Practice,2022-09-09 17:45:29+00:00
2022,REG,JAX,1,00-0034275,DT,Folorunso Fatukasi,Folorunso,Fatukasi,Calf,,Questionable,Calf,,Limited Participation in Practice,2022-09-09 17:45:36+00:00
2022,REG,KC,1,00-0032774,S,Deon Bush,Deon,Bush,,,,Foot,,Full Participation in Practice,2022-09-09 19:00:48+00:00
2022,REG,KC,1,00-0036682,DE,Malik Herring,Malik,Herring,,,,Abdomen,,Full Participation in Practice,2022-09-09 19:00:48+00:00
2022,REG,KC,1,00-0037194,T,Darian Kinnard,Darian,Kinnard,,,,Elbow,,Full Participation in Practice,2022-09-09 19:00:48+00:00
2022,REG,KC,1,00-0036660,G,Trey Smith,Trey,Smith,,,,Shoulder,,Full Participation in Practice,2022-09-09 19:00:48+00:00
2022,REG,KC,1,00-0033857,WR,JuJu Smith-Schuster,JuJu,Smith-Schuster,,,,Knee,,Full Participation in Practice,2022-09-09 19:00:48+00:00
2022,REG,KC,1,00-0032210,DE,Frank Clark,Frank,Clark,,,,Illness,,Limited Participation in Practice,2022-09-09 19:01:02+00:00
2022,REG,LA,1,00-0036415,WR,Van Jefferson,Van,Jefferson,Knee,,Out,Knee,,Did Not Participate In Practice,2022-09-07 20:05:37+00:00
2022,REG,LAC,1,00-0038045,RB,Isaiah Spiller,Isaiah,Spiller,,,,Ankle,,Full Participation in Practice,2022-09-09 20:03:32+00:00
2022,REG,LAC,1,00-0034591,CB,J.C. Jackson,J.C.,Jackson,Ankle,,Doubtful,Ankle,,Did Not Participate In Practice,2022-09-09 20:13:01+00:00
2022,REG,LAC,1,00-0035329,TE,Donald Parham,Donald,Parham,Hamstring,,Doubtful,Hamstring,,Did Not Participate In Practice,2022-09-09 20:13:05+00:00
2022,REG,LAC,1,00-0035262,LB,Drue Tranquill,Drue,Tranquill,Back,,Questionable,Back,,Limited Participation in Practice,2022-09-09 20:12:55+00:00
2022,REG,LV,1,00-0036990,LB,Divine Deablo,Divine,Deablo,,,,Wrist,,Full Participation in Practice,2022-09-09 20:03:22+00:00
2022,REG,MIA,1,00-0034681,RB,Chase Edmonds,Chase,Edmonds,,,,Groin,,Full Participation in Practice,2022-09-08 18:51:57+00:00
2022,REG,MIA,1,00-0035311,RB,Myles Gaskin,Myles,Gaskin,,,,Neck,,Full Participation in Practice,2022-09-08 18:52:05+00:00
2022,REG,MIA,1,00-0035125,FB,Alec Ingold,Alec,Ingold,,,,Hamstring,,Full Participation in Practice,2022-09-09 19:50:08+00:00
2022,REG,MIA,1,00-0035346,CB,Nik Needham,Nik,Needham,,,,Quadricep,,Full Participation in Practice,2022-09-09 19:50:18+00:00
2022,REG,MIA,1,00-0036613,WR,Jaylen Waddle,Jaylen,Waddle,,,,Quadricep,,Full Participation in Practice,2022-09-08 18:52:32+00:00
2022,REG,MIA,1,00-0034352,C,Connor Williams,Connor,Williams,,,,Knee,,Full Participation in Practice,2022-09-09 19:51:26+00:00
2022,REG,MIA,1,00-0030067,T,Terron Armstead,Terron,Armstead,,,,Not injury related - resting player,,Limited Participation in Practice,2022-09-08 18:51:47+00:00
2022,REG,MIA,1,00-0029249,LB,Melvin Ingram,Melvin,Ingram,,,,Not injury related - resting player,,Limited Participation in Practice,2022-09-08 18:51:47+00:00
2022,REG,MIA,1,00-0036020,RB,Salvon Ahmed,Salvon,Ahmed,Heel,,Questionable,Heel,,Limited Participation in Practice,2022-09-09 19:53:21+00:00
2022,REG,MIA,1,00-0037348,TE,Tanner Conner,Tanner,Conner,Knee,,Questionable,Knee,,Limited Participation in Practice,2022-09-09 19:53:44+00:00
2022,REG,MIA,1,00-0036213,DT,Raekwon Davis,Raekwon,Davis,Knee,,Questionable,Knee,,Limited Participation in Practice,2022-09-09 19:54:05+00:00
2022,REG,MIA,1,00-0031555,S,Eric Rowe,Eric,Rowe,Pectoral,,Questionable,Pectoral,,Limited Participation in Practice,2022-09-09 19:54:21+00:00
2022,REG,MIA,1,00-0035272,LB,Andrew Van Ginkel,Andrew,Van Ginkel,Illness,,Questionable,Illness,,Limited Participation in Practice,2022-09-09 19:54:40+00:00
2022,REG,MIN,1,00-0034972,RB,Alexander Mattison,Alexander,Mattison,,,,Not injury related - personal matter,,Did Not Participate In Practice,2022-09-09 19:15:51+00:00
2022,REG,MIN,1,00-0037245,S,Lewis Cine,Lewis,Cine,Knee,,Questionable,Knee,,Did Not Participate In Practice,2022-09-09 19:19:25+00:00
2022,REG,MIN,1,00-0033093,DE,Jonathan Bullard,Jonathan,Bullard,Biceps,,Questionable,Biceps,,Full Participation in Practice,2022-09-09 19:18:58+00:00
2022,REG,NE,1,00-0036872,S,Joshuah Bledsoe,Joshuah,Bledsoe,Groin,,Questionable,Groin,,Limited Participation in Practice,2022-09-09 19:46:42+00:00
2022,REG,NE,1,00-0034960,WR,Jakobi Meyers,Jakobi,Meyers,Knee,,Questionable,Knee,,Limited Participation in Practice,2022-09-09 19:46:42+00:00
2022,REG,NE,1,00-0032200,WR,Ty Montgomery,Ty,Montgomery,Knee,,Questionable,Knee,,Limited Participation in Practice,2022-09-09 19:46:42+00:00
2022,REG,NE,1,00-0036559,CB,Shaun Wade,Shaun,Wade,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2022-09-09 19:46:42+00:00
2022,REG,NE,1,00-0034833,T,Isaiah Wynn,Isaiah,Wynn,Back,,Questionable,Back,,Limited Participation in Practice,2022-09-09 19:46:42+00:00
2022,REG,NO,1,00-0037433,T,Tanner Owen,Tanner,Owen,,,,Illness,,Did Not Participate In Practice,2022-09-07 20:56:43+00:00
2022,REG,NO,1,00-0035242,C,Erik McCoy,Erik,McCoy,,,,Calf,,Full Participation in Practice,2022-09-09 19:15:13+00:00
2022,REG,NO,1,00-0036927,LB,Pete Werner,Pete,Werner,,,,Groin,,Full Participation in Practice,2022-09-09 19:15:22+00:00
2022,REG,NO,1,00-0036937,CB,Paulson Adebo,Paulson,Adebo,Ankle,,Out,Ankle,,Did Not Participate In Practice,2022-09-09 19:15:59+00:00
2022,REG,NO,1,00-0034765,WR,Tre'Quan Smith,Tre'Quan,Smith,Shoulder,,Out,Shoulder,,Did Not Participate In Practice,2022-09-09 19:21:42+00:00
2022,REG,NO,1,00-0032450,RB,Dwayne Washington,Dwayne,Washington,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2022-09-09 19:16:22+00:00
2022,REG,NO,1,00-0030459,S,Tyrann Mathieu,Tyrann,Mathieu,Illness,,Questionable,Illness,,Did Not Participate In Practice,2022-09-09 19:15:53+00:00
2022,REG,NO,1,00-0034116,S,J.T. Gray,J.T.,Gray,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2022-09-09 19:15:53+00:00
2022,REG,NO,1,00-0032765,WR,Michael Thomas,Michael,Thomas,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2022-09-09 19:15:53+00:00
2022,REG,NO,1,00-0036930,T,Landon Young,Landon,Young,Hip,,Questionable,Hip,,Limited Participation in Practice,2022-09-09 19:15:53+00:00
2022,REG,NYG,1,00-0032385,WR,Sterling Shepard,Sterling,Shepard,,,,Achilles,,Limited Participation in Practice,2022-09-09 19:02:09+00:00
2022,REG,NYG,1,00-0036552,LB,Azeez Ojulari,Azeez,Ojulari,Calf,,Doubtful,Calf,,Limited Participation in Practice,2022-09-09 19:02:25+00:00
2022,REG,NYG,1,00-0037611,LB,Kayvon Thibodeaux,Kayvon,Thibodeaux,Knee,,Doubtful,Knee,,Limited Participation in Practice,2022-09-09 19:02:39+00:00
2022,REG,NYG,1,00-0038123,S,Dane Belton,Dane,Belton,Collarbone,,Questionable,Collarbone,,Limited Participation in Practice,2022-09-09 19:02:14+00:00
2022,REG,NYJ,1,00-0026166,T,Duane Brown,Duane,Brown,Shoulder,,Out,Shoulder,,Did Not Participate In Practice,2022-09-09 19:00:10+00:00
2022,REG,NYJ,1,00-0037013,QB,Zach Wilson,Zach,Wilson,Knee,,Out,Knee,,Did Not Participate In Practice,2022-09-09 19:01:41+00:00
2022,REG,NYJ,1,00-0032466,T,George Fant,George,Fant,Knee,,Questionable,Knee,,Full Participation in Practice,2022-09-09 18:59:54+00:00
2022,REG,NYJ,1,00-0033770,CB,Justin Hardee,Justin,Hardee,Calf,,Questionable,Calf,,Full Participation in Practice,2022-09-09 18:59:54+00:00
2022,REG,NYJ,1,00-0033300,T,Conor McDermott,Conor,McDermott,Ankle,,Questionable,Ankle,,Full Participation in Practice,2022-09-09 18:59:54+00:00
2022,REG,NYJ,1,00-0034384,CB,D.J. Reed,D.J.,Reed,Knee,,Questionable,Knee,,Full Participation in Practice,2022-09-09 18:59:54+00:00
2022,REG,PHI,1,00-0033876,DE,Derek Barnett,Derek,Barnett,,,,Ribs,,Full Participation in Practice,2022-09-09 18:55:37+00:00
2022,REG,PHI,1,00-0033109,DT,Javon Hargrave,Javon,Hargrave,,,,Toe,,Full Participation in Practice,2022-09-09 18:55:37+00:00
2022,REG,PHI,1,00-0035243,RB,Miles Sanders,Miles,Sanders,,,,Hamstring,,Full Participation in Practice,2022-09-09 18:55:37+00:00
2022,REG,PHI,1,00-0036303,CB,Josiah Scott,Josiah,Scott,,,,Hamstring,,Full Participation in Practice,2022-09-09 18:55:44+00:00
2022,REG,PIT,1,00-0034335,LB,Marcus Allen,Marcus,Allen,,,,Hamstring,,Full Participation in Practice,2022-09-09 18:16:25+00:00
2022,REG,PIT,1,00-0027969,DT,Cameron Heyward,Cameron,Heyward,,,,Not injury related - resting player,,Full Participation in Practice,2022-09-09 18:20:08+00:00
2022,REG,PIT,1,00-0035216,WR,Diontae Johnson,Diontae,Johnson,,,,Shoulder,,Full Participation in Practice,2022-09-09 18:20:15+00:00
2022,REG,PIT,1,00-0034768,T,Chukwuma Okorafor,Chukwuma,Okorafor,,,,Back,,Full Participation in Practice,2022-09-09 18:20:21+00:00
2022,REG,SEA,1,00-0031367,G,Gabe Jackson,Gabe,Jackson,,,,Knee,Not injury related - resting p,Did Not Participate In Practice,2022-09-10 20:53:56+00:00
2022,REG,SEA,1,00-0036795,T,Jake Curhan,Jake,Curhan,,,,Elbow,,Full Participation in Practice,2022-09-10 20:53:13+00:00
2022,REG,SEA,1,00-0033543,CB,Sidney Jones,Sidney,Jones,,,,Concussion,,Full Participation in Practice,2022-09-10 20:53:13+00:00
2022,REG,SEA,1,00-0038133,LB,Boye Mafe,Boye,Mafe,,,,Shoulder,,Full Participation in Practice,2022-09-09 20:20:52+00:00
2022,REG,SEA,1,00-0034527,S,Ryan Neal,Ryan,Neal,,,,Ankle,,Full Participation in Practice,2022-09-09 20:21:03+00:00
2022,REG,SEA,1,00-0031156,LS,Tyler Ott,Tyler,Ott,Shoulder,,Out,Shoulder,,Did Not Participate In Practice,2022-09-10 19:49:08+00:00
2022,REG,SEA,1,00-0036426,DE,Alton Robinson,Alton,Robinson,Knee,,Out,Knee,,Did Not Participate In Practice,2022-09-10 19:49:50+00:00
2022,REG,SEA,1,00-0033103,CB,Artie Burns,Artie,Burns,Groin,,Doubtful,Groin,,Did Not Participate In Practice,2022-09-10 20:26:21+00:00
2022,REG,SEA,1,00-0038134,RB,Kenneth Walker,Kenneth,Walker,Hernia,,Questionable,Hernia,,Did Not Participate In Practice,2022-09-10 19:50:18+00:00
2022,REG,SEA,1,00-0036417,G,Damien Lewis,Damien,Lewis,Knee,Ankle,Questionable,Knee,Ankle,Limited Participation in Practice,2022-09-10 19:50:51+00:00
2022,REG,SF,1,00-0032164,DE,Arik Armstead,Arik,Armstead,,,,Knee,,Full Participation in Practice,2022-09-09 20:39:29+00:00
2022,REG,SF,1,00-0034754,LB,Oren Burks,Oren,Burks,,,,Knee,,Full Participation in Practice,2022-09-09 20:39:29+00:00
2022,REG,SF,1,00-0031345,QB,Jimmy Garoppolo,Jimmy,Garoppolo,,,,right Shoulder,,Full Participation in Practice,2022-09-09 20:39:29+00:00
2022,REG,SF,1,00-0034847,T,Mike McGlinchey,Mike,McGlinchey,,,,Knee,,Full Participation in Practice,2022-09-09 20:39:29+00:00
2022,REG,SF,1,00-0034982,LB,Dre Greenlaw,Dre,Greenlaw,,,,Elbow,,Limited Participation in Practice,2022-09-09 20:39:29+00:00
2022,REG,SF,1,00-0033221,G,Daniel Brunskill,Daniel,Brunskill,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2022-09-09 20:39:45+00:00
2022,REG,SF,1,00-0033288,TE,George Kittle,George,Kittle,Groin,,Questionable,Groin,,Did Not Participate In Practice,2022-09-09 20:40:09+00:00
2022,REG,TB,1,00-0029562,LB,Lavonte David,Lavonte,David,,,,Not injury related - resting player,,Did Not Participate In Practice,2022-09-09 19:44:58+00:00
2022,REG,TB,1,00-0031408,WR,Mike Evans,Mike,Evans,,,,Not injury related - resting player,,Did Not Participate In Practice,2022-09-09 19:44:40+00:00
2022,REG,TB,1,00-0030456,RB,Giovani Bernard,Giovani,Bernard,,,,Ankle,,Full Participation in Practice,2022-09-09 19:43:58+00:00
2022,REG,TB,1,00-0035681,S,Mike Edwards,Mike,Edwards,,,,Illness,,Full Participation in Practice,2022-09-09 19:44:05+00:00
2022,REG,TB,1,00-0027944,WR,Julio Jones,Julio,Jones,,,,Not injury related - resting player,,Full Participation in Practice,2022-09-09 19:43:50+00:00
2022,REG,TB,1,00-0030411,S,Logan Ryan,Logan,Ryan,,,,Hamstring,,Full Participation in Practice,2022-09-09 19:44:22+00:00
2022,REG,TB,1,00-0036406,T,Tristan Wirfs,Tristan,Wirfs,,,,Abdomen,,Full Participation in Practice,2022-09-09 19:43:50+00:00
2022,REG,TB,1,00-0037268,CB,Zyon McCollum,Zyon,McCollum,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2022-09-09 19:45:40+00:00
2022,REG,TB,1,00-0033921,WR,Chris Godwin,Chris,Godwin,Knee,,Questionable,Knee,,Full Participation in Practice,2022-09-09 19:45:19+00:00
2022,REG,TB,1,00-0034411,WR,Russell Gage,Russell,Gage,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2022-09-09 19:45:19+00:00
2022,REG,TEN,1,00-0037312,LB,Chance Campbell,Chance,Campbell,Knee,,Out,Knee,,Did Not Participate In Practice,2022-09-09 19:43:21+00:00
2022,REG,TEN,1,00-0035244,CB,Lonnie Johnson,Lonnie,Johnson,Groin,,Out,Groin,,Did Not Participate In Practice,2022-09-09 19:43:27+00:00
